cited_author,wos-uid
"Naude, Wim",WOS:000930197100001
"Acemoglu, Daron",WOS:000930197100001
"Tubaro, Paola",WOS:000930197100001
"Bankins, Sarah",WOS:000930197100001
"Hagendorff, Thilo",WOS:000930197100001
"Kellogg, Katherine C.",WOS:000930197100001
"Leicht-Deobald, Ulrich",WOS:000930197100001
"Allan, Blake A.",WOS:000930197100001
"Symon, Gillian",WOS:000930197100001
"Susser, Daniel",WOS:000930197100001
"Jobin, Anna",WOS:000930197100001
"Selbst, Andrew D.",WOS:000930197100001
"Floridi, Luciano",WOS:000930197100001
"Wright, Scott A.",WOS:000930197100001
"Torres, Phil",WOS:000930197100001
"Lysova, Evgenia I.",WOS:000930197100001
"Bailey, Catherine",WOS:000930197100001
"Bruun, Edvard P. G.",WOS:000930197100001
"Hagras, Hani",WOS:000930197100001
"Jarrahi, Mohammad Hossein",WOS:000930197100001
"Carton, Andrew M.",WOS:000930197100001
"Martela, Frank",WOS:000930197100001
"Frey, Carl Benedikt",WOS:000930197100001
"Wiesenfeld, Batia M.",WOS:000930197100001
"Michaelson, Christopher",WOS:000930197100001
"Mazmanian, Melissa",WOS:000930197100001
"Seppala, Emma",WOS:000930197100001
"Lips-Wiersma, Marjolein",WOS:000930197100001
"Bekey, George A.",WOS:000930197100001
"Wright, David",WOS:000930197100001
"Lips-Wiersma, Marjolein",WOS:000930197100001
"Leonard, Thomas C.",WOS:000930197100001
"Grant, Adam M.",WOS:000930197100001
"Grant, Adam M.",WOS:000930197100001
"Abrams, JJ",WOS:000930197100001
"Trope, Y",WOS:000930197100001
"Langlois, RN",WOS:000930197100001
"Bowie, NE",WOS:000930197100001
"HACKMAN, JR",WOS:000930197100001
"HACKMAN, JR",WOS:000930197100001
"Pratt, M. G.",WOS:000930197100001
"Chui, M.",WOS:000930197100001
"Nussbaum, M.",WOS:000930197100001
"Boden, MA.",WOS:000930197100001
"Daugherty, P.",WOS:000930197100001
"Zuboff, S.",WOS:000930197100001
"Engel, S.",WOS:000930197100001
"Asher-Schapiro, A.",WOS:000930197100001
"Molitorisz, S.",WOS:000930197100001
"Jarrahi, M. H.",WOS:000930197100001
"Camus, A.",WOS:000930197100001
"Dastin, J.",WOS:000930197100001
"Formosa, P.",WOS:000930197100001
"Gibbs, MJ.",WOS:000930197100001
"Halloran, L.",WOS:000930197100001
"Ernst, E.",WOS:000930197100001
"Huges, James.",WOS:000930197100001
"Walsh, T.",WOS:000930197100001
"Wolf, S.",WOS:000930197100001
"Roberts, P.",WOS:000930197100001
"Gladden, M. E.",WOS:000930197100001
"Cheney, G.",WOS:000930197100001
"Smids, J.",WOS:000930197100001
"Zhou, L.",WOS:000930197100001
"Bankins, S.",WOS:000930197100001
"Vallor, S.",WOS:000930197100001
"Pardes, A.",WOS:000930197100001
"Ravenscraft, E.",WOS:000930197100001
"Hassabis, D.",WOS:000930197100001
"Dahl, ES",WOS:000930197100001
"Jackson, Trevor",WOS:000931459700003
"Lillywhite, Austin",WOS:000931459700003
"Jenkins, Christopher",WOS:000931459700003
"Lancaster, Ashley Craig",WOS:000931459700003
"Boes, Tobias",WOS:000931459700003
"Miles, R.",WOS:000931459700003
"Bakhtin, M.",WOS:000931459700003
"Simpson, Philip L.",WOS:000931459700003
"Botting, F.",WOS:000931459700003
"Taylor, Charles",WOS:000931459700003
"Hutcheon, L.",WOS:000931459700003
"Sheehan, P.",WOS:000931459700003
BAUDRILLARD J,WOS:000931459700003
"Sammons, JL.",WOS:000931459700003
"Wolfe, C.",WOS:000931459700003
"Spooner, Catherine",WOS:000931459700003
"Bolton, MS.",WOS:000931459700003
"Tennyson, GB.",WOS:000931459700003
"Punter, D",WOS:000931459700003
"Davies, Tony",WOS:000931459700003
"Pacientino, EJ",WOS:000931459700003
"Lyotard, J.-F.",WOS:000931459700003
"Bates, Stanley",WOS:000931459700003
"Hutcheon, L.",WOS:000931459700003
"Ryan, J",WOS:000931459700003
"Jarrett, Robert",WOS:000931459700003
"Hurley, Kelly",WOS:000931459700003
"Graham, S.",WOS:000931459700003
"McCarthy, C",WOS:000931459700003
"Edwards, EE.",WOS:000931459700003
"Gandhi, L.",WOS:000931459700003
"Kroker, A.",WOS:000931459700003
"Cohen, Jeffrey J.",WOS:000931459700003
"Fiedler, Leslie A.",WOS:000931459700003
"Braidotti, R.",WOS:000931459700003
